time,num1,num2,result,answer,date,correct,score,problem_type
1.7324188999999992,12,12,144,144,Oct-29-2021,1,96.99872475492279,square
1.4324726000000003,10,10,100,100,Oct-29-2021,1,97.94802225024924,square
2.1001195000000017,13,13,169,169,Oct-29-2021,1,95.58949808571974,square
1.8968625000000008,14,14,196,196,Oct-29-2021,1,96.40191265609374,square
9.510468200000002,18,18,324,324,Oct-29-2021,1,9.550994616788728,square
2.6140276,20,20,400,400,Oct-29-2021,1,93.16685970643825,square
1.7030261999999965,10,10,100,100,Oct-29-2021,1,97.09970176211357,square
14.574707700000005,17,17,289,289,Oct-29-2021,1,0.0,square
3.884960400000004,12,12,144,144,Oct-29-2021,1,84.9070826904318,square
3.4865254999999986,14,14,196,196,Oct-29-2021,1,87.84413993784976,square
